Year,China,Japan,US,RoW,Europe
2020,1879687,61778,486011,195448.8,663317
2021,2059195,68178,607852,267801.1,753397
2022,2572032,73448,706236,361939,857789
2023,3307113,84142,767743,463331,1265435
2024,4038177,192944,1293534,700520.4,1809790
2025,4749735,236597,1567902,936793.2,2441733
2026,5709789,287379,1929921,1378347.8,3272525
2027,6432530,355753,2463455,2326256.9,4266838
2028,7188949,446106,3222966,3252701.9,5508496
2029,8429466,555784,4135895,4222197.8,6584358
2030,9616814,654115,5000090,5333219.4,7719915
2031,10668234,806187,5916875,6494163.4,8601904
2032,11364171,953950,6424225,7651892.7,9214702
2033,11425445,1193388,6829551,9024869.9,9466822
2034,11650310,1451317,7124975,10340996.8,9707172
2035,11980382,1681345,7454786,11714182.8,9907912
2036,12290698,1863232,7990517,12989375.1,10063692
2037,13036929,1984586,8372523,14298726.6,10141613
2038,13430874,2075575,8823642,15593441.3,10252408
2039,13979527,2194791,9313437,17186803.3,10503347
2040,14628946,2355927,9679729,18786952.6,10774483
